dtreffre,numdep,nomdep,numregi,nomregi,aah_tx_inca,beneficiaires,lieures,date
2019-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11727,LA REUNION/LA REUNION,2019-04-01
2019-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8586,LA REUNION/LA REUNION,2019-03-01
2019-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8539,LA REUNION/LA REUNION,2019-01-01
2018-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8499,LA REUNION/LA REUNION,2018-05-01
2017-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8246,LA REUNION/LA REUNION,2017-06-01
2017-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10633,LA REUNION/LA REUNION,2017-03-01
2016-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10546,LA REUNION/LA REUNION,2016-12-01
2016-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10396,LA REUNION/LA REUNION,2016-09-01
2017-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10727,LA REUNION/LA REUNION,2017-04-01
2016-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,7980,LA REUNION/LA REUNION,2016-11-01
2017-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10946,LA REUNION/LA REUNION,2017-08-01
2017-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8329,LA REUNION/LA REUNION,2017-08-01
2019-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11764,LA REUNION/LA REUNION,2019-05-01
2018-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11469,LA REUNION/LA REUNION,2018-08-01
2018-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8488,LA REUNION/LA REUNION,2018-08-01
2018-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8512,LA REUNION/LA REUNION,2018-06-01
2018-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8493,LA REUNION/LA REUNION,2018-04-01
2018-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11116,LA REUNION/LA REUNION,2018-01-01
2019-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8820,LA REUNION/LA REUNION,2019-11-01
2020-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11703,LA REUNION/LA REUNION,2020-01-01
2017-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11046,LA REUNION/LA REUNION,2017-10-01
2017-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8407,LA REUNION/LA REUNION,2017-10-01
2024-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10766,LA REUNION/LA REUNION,2024-03-01
2023-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11917,LA REUNION/LA REUNION,2023-10-01
2022-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11924,LA REUNION/LA REUNION,2022-06-01
2022-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9765,LA REUNION/LA REUNION,2022-09-01
2023-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9909,LA REUNION/LA REUNION,2023-04-01
2023-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9780,LA REUNION/LA REUNION,2023-01-01
2022-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11944,LA REUNION/LA REUNION,2022-12-01
2022-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9784,LA REUNION/LA REUNION,2022-12-01
2022-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11942,LA REUNION/LA REUNION,2022-11-01
2022-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11941,LA REUNION/LA REUNION,2022-10-01
2022-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9765,LA REUNION/LA REUNION,2022-10-01
2022-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11947,LA REUNION/LA REUNION,2022-07-01
2021-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12084,LA REUNION/LA REUNION,2021-10-01
2021-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9501,LA REUNION/LA REUNION,2021-10-01
2021-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9478,LA REUNION/LA REUNION,2021-08-01
2019-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11974,LA REUNION/LA REUNION,2019-11-01
2022-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11835,LA REUNION/LA REUNION,2022-03-01
2022-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9497,LA REUNION/LA REUNION,2022-01-01
2021-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12078,LA REUNION/LA REUNION,2021-11-01
2025-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11121,LA REUNION/LA REUNION,2025-03-01
2025-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11524,LA REUNION/LA REUNION,2025-02-01
2024-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10838,LA REUNION/LA REUNION,2024-04-01
2024-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10637,LA REUNION/LA REUNION,2024-02-01
2023-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10314,LA REUNION/LA REUNION,2023-11-01
2023-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11841,LA REUNION/LA REUNION,2023-09-01
2023-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10138,LA REUNION/LA REUNION,2023-09-01
2025-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11625,LA REUNION/LA REUNION,2025-12-01
2025-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11456,LA REUNION/LA REUNION,2025-12-01
2025-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11617,LA REUNION/LA REUNION,2025-11-01
2025-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11610,LA REUNION/LA REUNION,2025-10-01
2025-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11615,LA REUNION/LA REUNION,2025-09-01
2025-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11317,LA REUNION/LA REUNION,2025-09-01
2025-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11242,LA REUNION/LA REUNION,2025-08-01
2021-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9468,LA REUNION/LA REUNION,2021-07-01
2021-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9448,LA REUNION/LA REUNION,2021-06-01
2020-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9049,LA REUNION/LA REUNION,2020-10-01
2020-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12029,LA REUNION/LA REUNION,2020-09-01
2017-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8043,LA REUNION/LA REUNION,2017-01-01
2016-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10485,LA REUNION/LA REUNION,2016-11-01
2017-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10782,LA REUNION/LA REUNION,2017-05-01
2017-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8127,LA REUNION/LA REUNION,2017-03-01
2017-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8093,LA REUNION/LA REUNION,2017-02-01
2016-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,7909,LA REUNION/LA REUNION,2016-09-01
2016-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,10254,LA REUNION/LA REUNION,2016-07-01
