dtreffre,numdep,nomdep,numregi,nomregi,aah_tx_inca,beneficiaires,lieures,date
2019-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8814,LA REUNION/LA REUNION,2019-09-01
2020-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8801,LA REUNION/LA REUNION,2020-01-01
2019-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11615,LA REUNION/LA REUNION,2019-01-01
2019-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8627,LA REUNION/LA REUNION,2019-04-01
2022-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11813,LA REUNION/LA REUNION,2022-02-01
2024-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11667,LA REUNION/LA REUNION,2024-02-01
2024-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11655,LA REUNION/LA REUNION,2024-01-01
2024-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10566,LA REUNION/LA REUNION,2024-01-01
2023-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11942,LA REUNION/LA REUNION,2023-11-01
2023-10,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10264,LA REUNION/LA REUNION,2023-10-01
2023-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9941,LA REUNION/LA REUNION,2023-05-01
2024-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11912,LA REUNION/LA REUNION,2024-04-01
2024-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11682,LA REUNION/LA REUNION,2024-03-01
2023-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11946,LA REUNION/LA REUNION,2023-12-01
2023-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11841,LA REUNION/LA REUNION,2023-08-01
2024-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10918,LA REUNION/LA REUNION,2024-06-01
2022-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11959,LA REUNION/LA REUNION,2022-08-01
2022-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9752,LA REUNION/LA REUNION,2022-08-01
2021-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12101,LA REUNION/LA REUNION,2021-07-01
2026-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11459,LA REUNION/LA REUNION,2026-01-01
2025-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11140,LA REUNION/LA REUNION,2025-05-01
2021-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9339,LA REUNION/LA REUNION,2021-04-01
2021-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12080,LA REUNION/LA REUNION,2021-03-01
2021-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9291,LA REUNION/LA REUNION,2021-03-01
2023-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9865,LA REUNION/LA REUNION,2023-03-01
2023-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9787,LA REUNION/LA REUNION,2023-02-01
2020-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9051,LA REUNION/LA REUNION,2020-09-01
2020-05,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11884,LA REUNION/LA REUNION,2020-05-01
2020-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,8893,LA REUNION/LA REUNION,2020-04-01
2020-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11993,LA REUNION/LA REUNION,2020-08-01
2020-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11949,LA REUNION/LA REUNION,2020-07-01
