dtreffre,numdep,nomdep,numregi,nomregi,aah_tx,beneficiaires,lieures,date
2022-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5894,LA REUNION/LA REUNION,2022-11-01
2022-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5871,LA REUNION/LA REUNION,2022-10-01
2022-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,15836,LA REUNION/LA REUNION,2022-09-01
2022-08,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5866,LA REUNION/LA REUNION,2022-08-01
2022-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,15783,LA REUNION/LA REUNION,2022-04-01
2024-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,16321,LA REUNION/LA REUNION,2024-02-01
2023-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,16325,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6061,LA REUNION/LA REUNION,2023-12-01
2023-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,16249,LA REUNION/LA REUNION,2023-11-01
2023-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6010,LA REUNION/LA REUNION,2023-11-01
2023-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6065,LA REUNION/LA REUNION,2023-09-01
2022-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5603,LA REUNION/LA REUNION,2022-02-01
2024-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6315,LA REUNION/LA REUNION,2024-05-01
2024-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6313,LA REUNION/LA REUNION,2024-04-01
2024-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,16399,LA REUNION/LA REUNION,2024-03-01
2017-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5053,LA REUNION/LA REUNION,2017-10-01
2017-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,14463,LA REUNION/LA REUNION,2017-11-01
2017-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5081,LA REUNION/LA REUNION,2017-11-01
2017-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,14197,LA REUNION/LA REUNION,2017-06-01
2017-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,4879,LA REUNION/LA REUNION,2017-05-01
2017-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,14012,LA REUNION/LA REUNION,2017-03-01
2017-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,13861,LA REUNION/LA REUNION,2017-01-01
2016-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,13499,LA REUNION/LA REUNION,2016-07-01
2016-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,13737,LA REUNION/LA REUNION,2016-12-01
2019-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,14806,LA REUNION/LA REUNION,2019-03-01
2019-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5466,LA REUNION/LA REUNION,2019-03-01
2020-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5567,LA REUNION/LA REUNION,2020-01-01
2020-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,15077,LA REUNION/LA REUNION,2020-04-01
2019-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,14976,LA REUNION/LA REUNION,2019-07-01
2026-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,16441,LA REUNION/LA REUNION,2026-02-01
2024-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,16381,LA REUNION/LA REUNION,2024-10-01
2024-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6476,LA REUNION/LA REUNION,2024-10-01
2024-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,16437,LA REUNION/LA REUNION,2024-08-01
2023-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5957,LA REUNION/LA REUNION,2023-04-01
2022-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,15798,LA REUNION/LA REUNION,2022-12-01
2022-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,15838,LA REUNION/LA REUNION,2022-10-01
2022-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,15788,LA REUNION/LA REUNION,2022-06-01
2022-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5825,LA REUNION/LA REUNION,2022-06-01
2023-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,15919,LA REUNION/LA REUNION,2023-09-01
2022-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,15847,LA REUNION/LA REUNION,2022-08-01
2022-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5823,LA REUNION/LA REUNION,2022-05-01
2022-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,15790,LA REUNION/LA REUNION,2022-03-01
2024-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,16441,LA REUNION/LA REUNION,2024-04-01
2024-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6052,LA REUNION/LA REUNION,2024-03-01
2024-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5986,LA REUNION/LA REUNION,2024-02-01
2024-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5947,LA REUNION/LA REUNION,2024-01-01
2023-07,974,LA REUNION,04,LA REUNION,AAH à taux plein,15903,LA REUNION/LA REUNION,2023-07-01
2023-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5969,LA REUNION/LA REUNION,2023-07-01
2022-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,15731,LA REUNION/LA REUNION,2022-02-01
2022-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5585,LA REUNION/LA REUNION,2022-01-01
2025-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,16412,LA REUNION/LA REUNION,2025-09-01
2025-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6485,LA REUNION/LA REUNION,2025-07-01
2025-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,16321,LA REUNION/LA REUNION,2025-06-01
2025-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6480,LA REUNION/LA REUNION,2025-06-01
2025-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6393,LA REUNION/LA REUNION,2025-03-01
2025-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,16284,LA REUNION/LA REUNION,2025-02-01
2025-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6373,LA REUNION/LA REUNION,2025-02-01
2025-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,16259,LA REUNION/LA REUNION,2025-01-01
2024-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,16399,LA REUNION/LA REUNION,2024-12-01
2024-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6516,LA REUNION/LA REUNION,2024-12-01
2024-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,16401,LA REUNION/LA REUNION,2024-11-01
2020-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,15352,LA REUNION/LA REUNION,2020-12-01
2021-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5946,LA REUNION/LA REUNION,2021-05-01
2021-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5905,LA REUNION/LA REUNION,2021-04-01
2021-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,15525,LA REUNION/LA REUNION,2021-03-01
2021-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5803,LA REUNION/LA REUNION,2021-02-01
2021-01,974,LA REUNION,04,LA REUNION,AAH à taux plein,15430,LA REUNION/LA REUNION,2021-01-01
2020-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,15313,LA REUNION/LA REUNION,2020-10-01
2020-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,15280,LA REUNION/LA REUNION,2020-09-01
