dtreffre,numdep,nomdep,numregi,nomregi,aah_complaah,aah_age_5,beneficiaires,lieures,date
2023-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,16,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1244,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1434,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,1914,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,2237,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,37,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,260,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,319,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,702,LA REUNION/LA REUNION,2023-12-01
2023-12,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,665,LA REUNION/LA REUNION,2023-12-01
2023-03,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1256,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 35 et 39 ans,1682,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,1872,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,2090,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,200,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,268,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,696,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,624,LA REUNION/LA REUNION,2023-03-01
2023-03,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,452,LA REUNION/LA REUNION,2023-03-01
2019-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1379,LA REUNION/LA REUNION,2019-05-01
2019-05,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,834,LA REUNION/LA REUNION,2019-05-01
2019-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,1,LA REUNION/LA REUNION,2019-05-01
2019-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,186,LA REUNION/LA REUNION,2019-05-01
2019-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,226,LA REUNION/LA REUNION,2019-05-01
2019-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,543,LA REUNION/LA REUNION,2019-05-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,9,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1230,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1374,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 35 et 39 ans,1445,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,1898,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,1807,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,809,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Age indéterminé,3,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,1,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,55,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,225,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,316,LA REUNION/LA REUNION,2019-07-01
2019-07,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,705,LA REUNION/LA REUNION,2019-07-01
2019-08,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,821,LA REUNION/LA REUNION,2019-08-01
2019-08,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,1,LA REUNION/LA REUNION,2019-08-01
2019-08,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,60,LA REUNION/LA REUNION,2019-08-01
2019-08,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,579,LA REUNION/LA REUNION,2019-08-01
2019-08,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,322,LA REUNION/LA REUNION,2019-08-01
2019-09,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,9,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,17,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1223,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1412,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH avec complément,Age indéterminé,3,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,313,LA REUNION/LA REUNION,2019-09-01
2019-09,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,579,LA REUNION/LA REUNION,2019-09-01
2019-06,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,18,LA REUNION/LA REUNION,2019-06-01
2019-06,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,56,LA REUNION/LA REUNION,2019-06-01
2018-11,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 55 et 59 ans,2802,LA REUNION/LA REUNION,2018-11-01
2018-11,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 35 et 39 ans,1401,LA REUNION/LA REUNION,2018-11-01
2018-11,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,315,LA REUNION/LA REUNION,2018-11-01
2018-11,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,1911,LA REUNION/LA REUNION,2018-11-01
2018-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,61,LA REUNION/LA REUNION,2018-10-01
2018-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,179,LA REUNION/LA REUNION,2018-10-01
2018-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,409,LA REUNION/LA REUNION,2018-10-01
2019-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,12,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,18,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,1791,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,789,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,62,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,186,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,292,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,577,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,680,LA REUNION/LA REUNION,2019-01-01
2019-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,543,LA REUNION/LA REUNION,2019-01-01
2019-06,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,583,LA REUNION/LA REUNION,2019-06-01
2019-06,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,306,LA REUNION/LA REUNION,2019-06-01
2025-10,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,24,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1285,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 55 et 59 ans,3249,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,2321,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Age indéterminé,1,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,182,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,284,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,652,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,2,LA REUNION/LA REUNION,2025-10-01
2025-09,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,2,LA REUNION/LA REUNION,2025-09-01
2025-09,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,28,LA REUNION/LA REUNION,2025-09-01
2025-09,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,609,LA REUNION/LA REUNION,2025-09-01
2025-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 30 et 34 ans,1628,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 40 et 44 ans,1956,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 50 et 54 ans,2510,LA REUNION/LA REUNION,2025-07-01
2025-07,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 55 et 59 ans,3268,LA REUNION/LA REUNION,2025-07-01
2025-04,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1249,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 60 et 64 ans,2308,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,30,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,142,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,189,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,628,LA REUNION/LA REUNION,2025-04-01
2025-11,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1293,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 40 et 44 ans,1958,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 55 et 59 ans,3256,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH avec complément,Age indéterminé,1,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,3,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 30 et 34 ans,130,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,241,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,283,LA REUNION/LA REUNION,2025-11-01
2025-11,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,420,LA REUNION/LA REUNION,2025-11-01
2025-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,30,LA REUNION/LA REUNION,2025-02-01
2025-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,64,LA REUNION/LA REUNION,2025-02-01
2025-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,198,LA REUNION/LA REUNION,2025-02-01
2025-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,441,LA REUNION/LA REUNION,2025-02-01
2025-02,974,LA REUNION,04,LA REUNION,AAH avec complément,65 ans ou plus,556,LA REUNION/LA REUNION,2025-02-01
2025-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Age indéterminé,15,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1223,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1485,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 30 et 34 ans,1632,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 35 et 39 ans,1629,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,2007,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Age indéterminé,4,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Moins de 20 ans,1,LA REUNION/LA REUNION,2025-01-01
2025-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,64,LA REUNION/LA REUNION,2025-01-01
