INSEE,NOM,REG,annee,beneficiaires,date
D974,La Réunion,R97,2012,14492,2012-01
D974,La Réunion,R97,2013,15506,2013-01
D974,La Réunion,R97,2014,16403,2014-01
D974,La Réunion,R97,2015,16907,2015-01
D974,La Réunion,R97,2016,18604,2016-01
D974,La Réunion,R97,2017,19609,2017-01
D974,La Réunion,R97,2018,20225,2018-01
D974,La Réunion,R97,2019,20857,2019-01
D974,La Réunion,R97,2020,21215,2020-01
D974,La Réunion,R97,2021,21589,2021-01
